,AUD,CAD,EUR,GBP,JPY,USD
1999-01-01,-0.43966900519153645,0.6427742763783586,0.3021906785304141,0.029410644173977003,0.38911383442709874,-0.19684156129861524
1999-02-01,0.37904998262149986,0.18344539529740211,-0.7023757981750683,0.393614648765507,-0.2710748942272717,-0.07043928091325108
1999-03-01,0.0945932876807103,0.4101716762524265,0.4901167331044218,-0.5839885252577433,0.05071345376847583,-0.37041632393622215
1999-04-01,-0.2854330422375664,1.0976848772546144,-0.10334550076085136,0.08736833843833815,-0.07889742455152783,-0.34727081675710214
1999-05-01,0.1380584593548974,0.3416881107212051,0.5595455241256894,-0.6044595166813681,-0.15814261431500617,-0.1981057748018339
1999-06-01,0.07774374592937161,0.2847777481464441,-0.7117511266401693,0.5858529797843324,-0.20438800022274717,-0.1354863992769355
1999-07-01,-0.028863590406986644,-0.26648196375306404,0.8275243686642229,-0.6689760243027035,-0.11079576937044733,0.09735828350257576
1999-08-01,0.18970036220982264,0.441532698666397,-0.38017259979764656,0.11916581050875208,-0.36117434303338647,-0.5082541857839954
1999-09-01,0.5566737672757562,0.07839937676144039,0.40655808944286675,-0.49446834631161124,-0.045430917987209496,0.4184695022211161
1999-10-01,0.13399877728319615,0.47879015999639624,-0.33179829677847866,-0.6800230487366631,0.01294395629061919,0.3624457609146466
1999-11-01,0.40362658398353496,-0.049726650479523536,-0.12630124277847568,-0.7969175751165151,-0.12555828680650427,0.4978696608354463
1999-12-01,0.1335130395026156,0.09041116612180833,0.20030099985796868,-0.5432361274357835,0.2217952020563446,0.8107434650254791
2000-01-01,-0.11814706431391843,-0.6120943171621517,-0.336081355328523,0.41585603366137186,-0.12190729018676594,0.3959139393472691
2000-02-01,0.4139665598066417,-0.1258073956918873,0.04509481092853247,-0.5236429160947528,0.11857056628145975,0.7729177511967259
2000-03-01,0.11308842980072027,-0.6199092400389147,0.36527178512460523,-0.3226424511373752,0.008781542905422225,0.5703065509929625
2000-04-01,0.07483082437653944,-0.17090331724665728,0.4933725189611742,-0.3186307681347427,0.3780177452253539,0.5642448260555324
2000-05-01,-0.013900715928989461,-0.2644771467212316,-0.7404093761834409,0.7425927302063856,-0.07096297182988888,0.16765705913006318
2000-07-01,-0.05853207659376482,0.8408960473869058,0.36618440629305365,-0.5089553363118458,0.13715401274250721,-0.0882781206719229
2000-08-01,0.17684857573472762,-0.7869207166045693,0.29039521961865394,-0.22256973477538167,-0.08731778884961115,0.43594796441705647
2000-09-01,-0.0028966851501886727,-0.2049770494681201,0.8068719390621901,-0.7144963355591395,-0.11618449367838878,0.15457349708197327
2000-10-01,0.006222388914083284,0.26424173356600766,0.5871437827650153,-0.8151400980930689,-0.16802181015487969,-0.15923018650694543
2000-11-01,0.27192279363008104,0.20759126681599827,0.6610033855512207,-0.40014872932501366,-0.23786413274985674,-0.2214696919278297
2000-12-01,-0.049717766892235095,0.544729635451514,-0.8553682584904765,0.19939854381985772,-0.028225857239728657,0.322559938106188
2001-01-01,-0.15058203595328137,0.2935645912517709,-0.6984378431377836,0.545728509673965,-0.17966493375465098,0.13202208622854816
2001-02-01,-0.036920222737772034,-0.05338875115072395,0.8953160755354173,-0.8368269966878955,0.09435712006755072,0.08319083382064056
2001-03-01,0.42082815330937123,-0.6418885575227182,0.37929118966443226,-0.11808276575432378,-0.311967817043167,0.1279415167059876
2001-04-01,-0.08813616599906832,0.08784429791311683,-0.905432697479976,0.726328105890029,-0.01358567538231642,-0.17867305733549357
