,AUD,CAD,EUR,GBP,JPY,USD
1999-01-01,-0.17846462007821523,-0.18916143026317314,0.930588908581297,-0.5894014045456747,0.030583090735597326,-0.08180054579604253
1999-02-01,0.09472507465923545,0.02569269563299963,-0.9876145664284868,0.793393561082639,-0.055844399385360684,0.04272970281127855
1999-03-01,-0.09200920076266139,-0.06285975594461368,0.9728199012239452,-0.8222898490205734,0.038680282718977665,-0.01134101032922839
1999-04-01,0.004300268371748059,-0.021835704635829734,-0.13009136257898568,0.08455456905865733,0.0085631689537857,0.06471507974872037
1999-05-01,-0.09666500327277294,-0.37104969133663657,0.8062365818400753,-0.4909183184496847,-0.07424853873598289,-0.02538518013890611
1999-06-01,-0.08653351706212535,-0.36159567002409554,0.8323269941054748,-0.5592091116419688,0.1242200700376559,0.036114637128679586
1999-07-01,-0.04741525954556246,-0.3053867168542036,0.9097853559606447,-0.606251439148408,-0.06962853108372793,0.0615326974074531
1999-08-01,-0.16128208302707486,-0.1966805666887164,0.8272495190664704,-0.6340758028333233,0.15755221766201633,0.023159810722399102
1999-09-01,-0.3794252196173542,-0.6214745298072832,-0.14356553794802823,0.6962326206624259,-0.09250951134418077,-0.06679258062072801
1999-10-01,0.4026583469713416,-0.5439973752810289,-0.1799246845224261,0.5002774611883501,-0.35892024770126907,-0.014221884335584436
1999-11-01,0.012984227214497419,-0.9107919655951506,0.23468818073048428,-0.17167744422216102,-0.073489371347471,0.5963688108902355
1999-12-01,-0.01806165726993078,-0.22164990652599953,0.14935888030382571,-0.22572593801301657,-0.1692622968709511,0.10206235591517922
2000-01-01,-0.13666735247020292,-0.005976287976837352,0.8338962764458425,-0.6353126820163276,0.056546613910792354,-0.3316007871799969
2000-02-01,-0.04625895120758542,-0.08310195762352962,0.9382857443331566,-0.7908504676443177,0.053228687751710524,-0.08827419143970003
2000-03-01,-0.17051533067757188,0.09017271417542329,0.7112914055513253,-0.8111404133605867,0.15171174967140108,-0.06516838656369178
2000-04-01,0.06598927894040466,-0.08988669473763863,0.8872315045960522,-0.763508800667841,-0.007932463521988705,-0.18545125753607478
2000-05-01,0.02589528653621828,0.11046495397122391,-0.5296581484238287,0.42564283031565564,-0.03982886575420708,-0.017352971419729996
2000-07-01,-0.29758426658320253,-0.4895764545823576,0.7902076816492667,-0.31755055064149174,0.09175197419615129,-0.013329072347530007
2000-08-01,0.013117497361530419,0.0780105509882405,-0.9759752544139557,0.6781441081260479,-0.0031386732215540197,0.2516139158886716
2000-09-01,0.004583909712503751,-0.31304935599802053,0.8890948508267026,-0.6154058207637966,0.022748505122323452,0.15511755757665327
2000-10-01,0.2443394783631642,-0.1843850667282098,0.2877637209451863,-0.11234864521551842,-0.3530966501915749,-0.14918573767066823
2000-11-01,0.4332941946830271,-0.08021628088707143,0.5016385897300669,-0.4413568196786531,-0.34867008676910977,-0.19482402825207187
2000-12-01,0.21930330929709724,0.25762786758039147,-0.771248590825987,0.546119150355911,0.09826212514302286,0.10743895679759087
2001-01-01,0.05876229626228857,0.06612284367865279,0.048792729898182785,-0.08932055714139797,0.014594348242021937,-0.028722141750833485
2001-02-01,-0.061693672760335015,0.013996032656590983,0.9193853739378388,-0.8915067836556774,0.09426368785335931,-0.0191544491361984
2001-03-01,-0.17414617212781905,-0.5715569644626097,0.4954857380594504,-0.20177328561836438,0.07811309607387208,0.1540994304642407
2001-04-01,0.4350225491838656,0.42727512031025955,-0.19059550531335723,-0.2506229354695251,-0.4571669569708134,-0.23931693275217894
2001-05-01,-0.0013556416965437822,-0.32075861292042984,0.7028066080244298,-0.6179464128486307,0.10430471544219493,0.2528280090677711
2001-06-01,-0.10780546953448496,-0.04056940232297985,0.8921599512668836,-0.8019510178279187,0.14615127096391548,0.011362888083817333
2001-07-01,0.3414771835026718,-0.35807580563268726,-0.29885433638085857,0.558470786329223,-0.30737991411432847,-0.13574197404023067
2001-08-01,-0.1853962016173637,-0.09732791796089454,-0.1473779662670588,0.1964336753204711,-0.2839537788356869,-0.16949743343360377
2001-09-01,-0.40112979904251045,-0.3702195606614301,0.448097392791186,-0.09462438890796625,0.039155398956521835,0.04707140598268985
2001-10-01,0.09113717763194756,-0.019096604404120365,-0.11820051029199552,0.08856342001433126,0.029257768465240086,0.11294587378352261
2001-11-01,-0.44777545834965254,-0.10470525828227444,-0.04407070986199329,0.27663957294970104,0.012878531698884683,-0.09684589709157661
2001-12-01,-0.27745979925371006,-0.6872949353723145,0.5293321444597414,-0.1116826968923205,0.08244761428196648,0.31178280973994693
2002-01-01,-0.16600105048848673,-0.27135744437350184,0.7780758316189067,-0.45680601901998275,0.09008001204212407,0.04149992368250063
2002-02-01,-0.04697500862023439,-0.16013711299559177,0.9041679002758396,-0.7469104405946965,-0.04498119647523966,-0.09682834103839813
2002-04-01,-0.011375088504949393,-0.41525783166677827,0.693389253366906,-0.5560761675884224,-0.021626263819427317,0.3022753950535168
2002-05-01,0.0904265493570713,0.08216125445118111,0.810978718841475,-0.5661703109796119,0.06472318400353035,-0.3855399823671306
2002-06-01,0.003866084155629936,-0.31713483023020306,0.9082025111037896,-0.6189018053611133,-0.001277143570474094,0.1506176255787899
2002-07-01,0.5581510946112788,-0.2811177381451983,0.3637535157670936,-0.3313367488575045,-0.37037454412389326,-0.09526635849503146
2002-08-01,-0.1818427665369309,-0.2270077196224408,0.8077088709045326,-0.5840445754233183,0.11544105213523106,0.08395501537754632
2002-09-01,-0.06541227353826122,-0.2719309299728946,0.8558651224888207,-0.6080249764341813,0.015136640460609866,0.18363005710523234
