,AUD,CAD,EUR,GBP,JPY,USD
1999-01-01,-0.17846462007821523,-0.18916143026317314,0.930588908581297,-0.5894014045456747,0.03058309073559733,-0.08180054579604254
1999-02-01,-0.09472507465923544,-0.025692695632999633,0.9876145664284869,-0.793393561082639,0.05584439938536067,-0.04272970281127855
1999-03-01,-0.09200920076266139,-0.06285975594461368,0.9728199012239452,-0.8222898490205734,0.038680282718977665,-0.011341010329228388
1999-04-01,-0.027384998229856967,0.13905428245558582,0.8284486980744025,-0.5384609805309406,-0.05453203064767382,-0.4121190100615401
1999-05-01,-0.10368981654112186,-0.3980145152818973,0.8648271911173181,-0.5265942032100615,-0.0796443086879709,-0.027229965161630492
1999-06-01,-0.08653351706212535,-0.36159567002409554,0.8323269941054748,-0.5592091116419688,0.1242200700376559,0.036114637128679586
1999-07-01,-0.047415259545562465,-0.30538671685420365,0.9097853559606449,-0.6062514391484082,-0.06962853108372793,0.06153269740745312
1999-08-01,-0.1612820830270748,-0.1966805666887163,0.82724951906647,-0.6340758028333232,0.15755221766201627,0.023159810722399095
1999-09-01,-0.3343082508065086,-0.5475757863175196,-0.1264943429851692,0.6134444879621314,-0.0815093233697727,-0.05885036007012695
1999-10-01,0.40265834697134156,-0.5439973752810288,-0.17992468452242605,0.5002774611883499,-0.35892024770126896,-0.014221884335584434
1999-11-01,0.012984227214497417,-0.9107919655951505,0.23468818073048425,-0.17167744422216102,-0.07348937134747098,0.5963688108902354
1999-12-01,-0.027675088386877544,-0.33962446869493124,0.22885608734559282,-0.34586999367555915,-0.25935322304382485,0.15638568923727364
2000-01-01,-0.13666735247020292,-0.005976287976837352,0.8338962764458425,-0.6353126820163276,0.05654661391079235,-0.3316007871799969
2000-02-01,-0.046258951207585434,-0.08310195762352963,0.9382857443331567,-0.7908504676443177,0.05322868775171053,-0.08827419143970006
2000-03-01,-0.1705153306775719,0.09017271417542329,0.7112914055513253,-0.8111404133605867,0.15171174967140108,-0.0651683865636918
2000-04-01,0.06598927894040467,-0.08988669473763863,0.8872315045960523,-0.7635088006678411,-0.007932463521988706,-0.18545125753607483
2000-05-01,-0.04508063375844067,-0.1923064309852197,0.9220722455753705,-0.740993868460527,0.0693373486162522,0.030209472604189977
2000-07-01,-0.29758426658320253,-0.48957645458235766,0.7902076816492667,-0.31755055064149174,0.09175197419615129,-0.013329072347530006
2000-08-01,-0.013117497361530419,-0.0780105509882405,0.9759752544139558,-0.6781441081260479,0.0031386732215540197,-0.2516139158886716
2000-09-01,0.004583909712503751,-0.31304935599802053,0.8890948508267025,-0.6154058207637966,0.02274850512232345,0.15511755757665327
2000-10-01,0.2707235122141197,-0.20429516015542565,0.318836750180397,-0.12448017008547618,-0.3912243978389153,-0.16529497052632813
2000-11-01,0.433294194683027,-0.08021628088707142,0.5016385897300668,-0.44135681967865303,-0.3486700867691097,-0.19482402825207182
2000-12-01,-0.18409721566469675,-0.216269299588773,0.6474353652549489,-0.45844732267806165,-0.0824875087480768,-0.0901911278208784
2001-01-01,-0.3836724430067227,-0.4317311369096636,-0.31857886896460524,0.5831943022817985,-0.09528983038909833,0.18753341844811167
2001-02-01,-0.06169367276033502,0.013996032656590985,0.919385373937839,-0.8915067836556775,0.09426368785335933,-0.0191544491361984
2001-03-01,-0.15845434493283336,-0.5200555561407835,0.45083889636199337,-0.18359205606963816,0.07107454225279324,0.14021395940194398
