,AUD,CAD,CHF,DKK,EUR,GBP,HKD,ILS,JPY,NOK,NZD,SEK,SGD,USD
2004-01-29,0.017522810116481602,0.053877212725756865,0.028877285601868544,-0.013941794941745918,0.12126260803377914,0.08223138289919354,0.00932804661325004,0.005553198183657335,0.09387045550924134,-0.007266017805343972,-0.0056604267951231805,0.027485053887680022,0.016494747783433086,0.5340397724684647
2004-01-30,0.017769268148954576,0.05196071061853243,0.028931164513375407,-0.01470318886022877,0.12500482848146338,0.08032233469117032,0.009676290106496649,0.005541658909185121,0.09379944736257378,-0.007600480025812262,-0.005118577697022578,0.027160149447890913,0.015579582069892003,0.5357772207868989
2004-02-03,0.016368687283009054,0.05584313528533444,0.03045178999292405,-0.015058482394411342,0.12364035461649009,0.07894631169590134,0.008964092866615675,0.005304985790570205,0.09387598688236615,-0.006807936876757625,-0.003975860480008236,0.02623058902783619,0.016004330610352585,0.5342037624255584
2004-02-04,0.01983659768464252,0.034682496166786966,0.0318948643736633,0.0019495048078390503,0.16712871899014453,0.09010747031028427,0.009172809355145917,-0.004859296718789541,0.08748388552097897,-0.009438365447896113,-0.0032727516232617312,0.011990817065186357,0.0033783165610830612,0.5574073146862344
2004-02-05,0.019912979059474867,0.03576378457653272,0.03156253896377499,0.0023267044045230598,0.1680782066590307,0.0895441266694135,0.009613672243824395,-0.00486962658850025,0.08752507374863006,-0.01058039226278451,-0.003376051455932283,0.012222845194480095,0.003002523194927359,0.556717978285878
2004-02-09,0.017965843999033615,0.03244935786439712,0.030706744343315377,0.0054873076051130155,0.16331209936278385,0.09023567378536215,0.009638982068696067,-0.0037410000437287927,0.08815509035570657,-0.009175683776587285,-0.003812745791932989,0.012820941353695978,0.0036513880869578005,0.5574586067219514
2004-02-10,0.01795629692111783,0.03244812078251123,0.03074597023427658,0.005513261638892885,0.1633727635611374,0.09022679474664684,0.009636832083055241,-0.0036612476836464375,0.08815975112232055,-0.00919812946755294,-0.0038394617078155724,0.012791470396922328,0.0036428464296191995,0.5572504078326489
2004-02-12,0.01867140306743298,0.033939879243962426,0.030690047273419514,0.006249046639197755,0.16455411678170517,0.08895160786155788,0.00878324990232146,-0.003730535350516262,0.0884739527377375,-0.00919204098733406,-0.004596253588885275,0.012251109912541025,0.004067177223863225,0.5573347478285942
2004-02-13,0.018686539095302435,0.0337851024637504,0.030507781956919437,0.0059604314908677965,0.16502622083293272,0.08849829324847394,0.008789640834418244,-0.003606932717958908,0.08851293097481788,-0.009330652745915713,-0.004678329862862754,0.012113328028493311,0.0041449798893195,0.5571121791612291
2004-02-17,0.01868323582280451,0.0344676912380908,0.030480125334045965,0.0061088309739906555,0.1647316931615903,0.08900073388352464,0.008773706610820275,-0.0038772188330346152,0.08857839463766531,-0.009327794229912367,-0.004827146828504913,0.012435060112856819,0.004450311951480351,0.5574728965923961
